CULTIVO,Tiempo en semillero,Tipo de bandeja,Tiempo a cosecha,Estado,Semana,Cantidad
Lisa,28,128,8,Siembra,11,56
Lisa,28,128,8,Trasplante,11,56
Lisa,28,128,8,Plan,12,64
Lisa,28,128,8,Siembra,12,64
Lisa,28,128,8,Trasplante,12,64
Lisa,28,128,8,Plan,13,64
Lisa,28,128,8,Siembra,13,64
Lisa,28,128,8,Trasplante,13,64
Lisa,28,128,8,Plan,14,64
Lisa,28,128,8,Siembra,14,64
Lisa,28,128,8,Trasplante,14,64
Lisa,28,128,8,Plan,15,64
Lisa,28,128,8,Siembra,15,NA
Lisa,28,128,8,Trasplante,15,0
Lisa,28,128,8,Plan,16,64
Lisa,28,128,8,Siembra,16,62
Lisa,28,128,8,Trasplante,16,62
Lisa,28,128,8,Plan,17,64
Lisa,28,128,8,Siembra,17,64
Lisa,28,128,8,Trasplante,17,64
Lisa,28,128,8,Plan,18,64
Lisa,28,128,8,Siembra,18,64
Lisa,28,128,8,Trasplante,18,64
Lisa,28,128,8,Plan,19,64
Lisa,28,128,8,Siembra,19,64
Lisa,28,128,8,Trasplante,19,64
Lisa,28,128,8,Plan,20,64
Lisa,28,128,8,Siembra,20,64
Lisa,28,128,8,Trasplante,20,64
Lisa,28,128,8,Plan,21,64
Lisa,28,128,8,Siembra,21,64
Lisa,28,128,8,Trasplante,21,64
Lisa,28,128,8,Plan,22,64
Lisa,28,128,8,Siembra,22,64
Lisa,28,128,8,Trasplante,22,64
Lisa,28,128,8,Plan,23,64
Lisa,28,128,8,Siembra,23,NA
Lisa,28,128,8,Trasplante,23,64
Lisa,28,128,8,Plan,24,64
Lisa,28,128,8,Siembra,24,NA
Lisa,28,128,8,Trasplante,24,64
Lisa,28,128,8,Plan,25,64
Lisa,28,128,8,Siembra,25,NA
Lisa,28,128,8,Trasplante,25,NA
Lisa,28,128,8,Plan,26,64
Lisa,28,128,8,Siembra,26,NA
Lisa,28,128,8,Trasplante,26,NA
Lisa,28,128,8,Plan,27,64
Lisa,28,128,8,Siembra,27,NA
Lisa,28,128,8,Trasplante,27,NA
Lisa,28,128,8,Plan,28,NA
Lisa,28,128,8,Siembra,28,NA
Lisa,28,128,8,Trasplante,28,NA
Lisa,28,128,8,Plan,29,NA
Lisa,28,128,8,Siembra,29,NA
Lisa,28,128,8,Trasplante,29,NA
Lisa,28,128,8,Plan,30,NA
Lisa,28,128,8,Siembra,30,NA
Lisa,28,128,8,Trasplante,30,NA
Lisa,28,128,8,Plan,31,NA
Lisa,28,128,8,Siembra,31,NA
Lisa,28,128,8,Trasplante,31,NA
Lisa,28,128,8,Plan,32,NA
Lisa,28,128,8,Siembra,32,NA
Lisa,28,128,8,Trasplante,32,NA
Lisa,28,128,8,Plan,33,NA
Lisa,28,128,8,Siembra,33,NA
Lisa,28,128,8,Trasplante,33,NA
Lisa,28,128,8,Plan,34,NA
Lisa,28,128,8,Siembra,34,NA
Lisa,28,128,8,Trasplante,34,NA
Lisa,28,128,8,Plan,35,NA
Lisa,28,128,8,Siembra,35,NA
Lisa,28,128,8,Trasplante,35,NA
Lisa,28,128,8,Plan,36,NA
Lisa,28,128,8,Siembra,36,NA
Lisa,28,128,8,Trasplante,36,NA
Lisa,28,128,8,Plan,37,NA
Lisa,28,128,8,Siembra,37,NA
Lisa,28,128,8,Trasplante,37,NA
Lisa,28,128,8,Plan,38,NA
Lisa,28,128,8,Siembra,38,NA
Lisa,28,128,8,Trasplante,38,NA
Lisa,28,128,8,Plan,39,NA
Lisa,28,128,8,Siembra,39,NA
Lisa,28,128,8,Trasplante,39,NA
Lisa,28,128,8,Plan,40,NA
Lisa,28,128,8,Siembra,40,NA
Lisa,28,128,8,Trasplante,40,NA
Lisa,28,128,8,Plan,41,NA
Lisa,28,128,8,Siembra,41,NA
Lisa,28,128,8,Trasplante,41,NA
Lisa,28,128,8,Plan,42,NA
Lisa,28,128,8,Siembra,42,NA
Lisa,28,128,8,Trasplante,42,NA
Lisa,28,128,8,Plan,43,NA
Lisa,28,128,8,Siembra,43,NA
Lisa,28,128,8,Trasplante,43,NA
Lisa,28,128,8,Plan,44,NA
Lisa,28,128,8,Siembra,44,NA
Lisa,28,128,8,Trasplante,44,NA
Lisa,28,128,8,Plan,45,NA
Lisa,28,128,8,Siembra,45,NA
Lisa,28,128,8,Trasplante,45,NA
Lisa,28,128,8,Plan,46,NA
Lisa,28,128,8,Siembra,46,NA
Lisa,28,128,8,Trasplante,46,NA
Lisa,28,128,8,Plan,47,NA
Lisa,28,128,8,Siembra,47,NA
Lisa,28,128,8,Trasplante,47,NA
Lisa,28,128,8,Plan,48,NA
Lisa,28,128,8,Siembra,48,NA
Lisa,28,128,8,Trasplante,48,NA
Lisa,28,128,8,Plan,49,NA
Lisa,28,128,8,Siembra,49,NA
Lisa,28,128,8,Trasplante,49,NA
Lisa,28,128,8,Plan,50,NA
Lisa,28,128,8,Siembra,50,NA
Lisa,28,128,8,Trasplante,50,NA
Lisa,28,128,8,Plan,51,NA
Lisa,28,128,8,Siembra,51,NA
Lisa,28,128,8,Trasplante,51,NA
Lisa,28,128,8,Plan,52,NA
Lisa,28,128,8,Siembra,52,NA
Lisa,28,128,8,Trasplante,52,NA
Romana,28,128,8,Plan,6,64
Romana,28,128,8,Siembra,6,64
Romana,28,128,8,Trasplante,6,64
Romana,28,128,8,Plan,7,64
Romana,28,128,8,Siembra,7,64
Romana,28,128,8,Trasplante,7,64
Romana,28,128,8,Plan,8,64
Romana,28,128,8,Siembra,8,64
Romana,28,128,8,Trasplante,8,64
Romana,28,128,8,Plan,9,64
Romana,28,128,8,Siembra,9,64
Romana,28,128,8,Trasplante,9,64
Romana,28,128,8,Plan,10,64
Romana,28,128,8,Siembra,10,63
Romana,28,128,8,Trasplante,10,63
Romana,28,128,8,Plan,11,64
Romana,28,128,8,Siembra,11,62
Romana,28,128,8,Trasplante,11,62
Romana,28,128,8,Plan,12,64
Romana,28,128,8,Siembra,12,64
Romana,28,128,8,Trasplante,12,64
Romana,28,128,8,Plan,13,64
Romana,28,128,8,Siembra,13,72
Romana,28,128,8,Trasplante,13,72
Romana,28,128,8,Plan,14,64
Romana,28,128,8,Siembra,14,64
Romana,28,128,8,Trasplante,14,64
Romana,28,128,8,Plan,15,64
Romana,28,128,8,Siembra,15,NA
Romana,28,128,8,Trasplante,15,0
Romana,28,128,8,Plan,16,64
Romana,28,128,8,Siembra,16,54
Romana,28,128,8,Trasplante,16,54
Romana,28,128,8,Plan,17,64
Romana,28,128,8,Siembra,17,58
Romana,28,128,8,Trasplante,17,58
Romana,28,128,8,Plan,18,64
Romana,28,128,8,Siembra,18,64
Romana,28,128,8,Trasplante,18,64
Romana,28,128,8,Plan,19,64
Romana,28,128,8,Siembra,19,64
Romana,28,128,8,Trasplante,19,64
Romana,28,128,8,Plan,20,64
Romana,28,128,8,Siembra,20,64
Romana,28,128,8,Trasplante,20,64
Romana,28,128,8,Plan,21,64
Romana,28,128,8,Siembra,21,64
Romana,28,128,8,Trasplante,21,64
Romana,28,128,8,Plan,22,64
Romana,28,128,8,Siembra,22,64
Romana,28,128,8,Trasplante,22,64
Romana,28,128,8,Plan,23,64
Romana,28,128,8,Siembra,23,NA
Romana,28,128,8,Trasplante,23,64
Romana,28,128,8,Plan,24,64
Romana,28,128,8,Siembra,24,NA
Romana,28,128,8,Trasplante,24,64
Romana,28,128,8,Plan,25,64
Romana,28,128,8,Siembra,25,NA
Romana,28,128,8,Trasplante,25,NA
Romana,28,128,8,Plan,26,64
Romana,28,128,8,Siembra,26,NA
Romana,28,128,8,Trasplante,26,NA
Romana,28,128,8,Plan,27,64
Romana,28,128,8,Siembra,27,NA
Romana,28,128,8,Trasplante,27,NA
Romana,28,128,8,Plan,28,NA
Romana,28,128,8,Siembra,28,NA
Romana,28,128,8,Trasplante,28,NA
Romana,28,128,8,Plan,29,NA
Romana,28,128,8,Siembra,29,NA
Romana,28,128,8,Trasplante,29,NA
Romana,28,128,8,Plan,30,NA
Romana,28,128,8,Siembra,30,NA
Romana,28,128,8,Trasplante,30,NA
Romana,28,128,8,Plan,31,NA
Romana,28,128,8,Siembra,31,NA
Romana,28,128,8,Trasplante,31,NA
Romana,28,128,8,Plan,32,NA
Romana,28,128,8,Siembra,32,NA
Romana,28,128,8,Trasplante,32,NA
Romana,28,128,8,Plan,33,NA
Romana,28,128,8,Siembra,33,NA
Romana,28,128,8,Trasplante,33,NA
Romana,28,128,8,Plan,34,NA
Romana,28,128,8,Siembra,34,NA
Romana,28,128,8,Trasplante,34,NA
Romana,28,128,8,Plan,35,NA
Romana,28,128,8,Siembra,35,NA
Romana,28,128,8,Trasplante,35,NA
Romana,28,128,8,Plan,36,NA
Romana,28,128,8,Siembra,36,NA
Romana,28,128,8,Trasplante,36,NA
Romana,28,128,8,Plan,37,NA
Romana,28,128,8,Siembra,37,NA
Romana,28,128,8,Trasplante,37,NA
Romana,28,128,8,Plan,38,NA
Romana,28,128,8,Siembra,38,NA
Romana,28,128,8,Trasplante,38,NA
Romana,28,128,8,Plan,39,NA
Romana,28,128,8,Siembra,39,NA
Romana,28,128,8,Trasplante,39,NA
Romana,28,128,8,Plan,40,NA
Romana,28,128,8,Siembra,40,NA
Romana,28,128,8,Trasplante,40,NA
Romana,28,128,8,Plan,41,NA
Romana,28,128,8,Siembra,41,NA
Romana,28,128,8,Trasplante,41,NA
Romana,28,128,8,Plan,42,NA
Romana,28,128,8,Siembra,42,NA
Romana,28,128,8,Trasplante,42,NA
Romana,28,128,8,Plan,43,NA
Romana,28,128,8,Siembra,43,NA
Romana,28,128,8,Trasplante,43,NA
Romana,28,128,8,Plan,44,NA
Romana,28,128,8,Siembra,44,NA
Romana,28,128,8,Trasplante,44,NA
Romana,28,128,8,Plan,45,NA
Romana,28,128,8,Siembra,45,NA
Romana,28,128,8,Trasplante,45,NA
Romana,28,128,8,Plan,46,NA
Romana,28,128,8,Siembra,46,NA
Romana,28,128,8,Trasplante,46,NA
Romana,28,128,8,Plan,47,NA
Romana,28,128,8,Siembra,47,NA
Romana,28,128,8,Trasplante,47,NA
Romana,28,128,8,Plan,48,NA
Romana,28,128,8,Siembra,48,NA
Romana,28,128,8,Trasplante,48,NA
Romana,28,128,8,Plan,49,NA
Romana,28,128,8,Siembra,49,NA
Romana,28,128,8,Trasplante,49,NA
Romana,28,128,8,Plan,50,NA
Romana,28,128,8,Siembra,50,NA
Romana,28,128,8,Trasplante,50,NA
Romana,28,128,8,Plan,51,NA
Romana,28,128,8,Siembra,51,NA
Romana,28,128,8,Trasplante,51,NA
Romana,28,128,8,Plan,52,NA
Romana,28,128,8,Siembra,52,NA
Romana,28,128,8,Trasplante,52,NA
Cogollitos  tudela verde,28,128,8,Plan,6,64
Cogollitos  tudela verde,28,128,8,Siembra,6,64
Cogollitos  tudela verde,28,128,8,Trasplante,6,64
Cogollitos  tudela verde,28,128,8,Plan,7,64
Cogollitos  tudela verde,28,128,8,Siembra,7,64
Cogollitos  tudela verde,28,128,8,Trasplante,7,64
Cogollitos  tudela verde,28,128,8,Plan,8,64
Cogollitos  tudela verde,28,128,8,Siembra,8,64
Cogollitos  tudela verde,28,128,8,Trasplante,8,64
Cogollitos  tudela verde,28,128,8,Plan,9,64
Cogollitos  tudela verde,28,128,8,Siembra,9,64
Cogollitos  tudela verde,28,128,8,Trasplante,9,64
Cogollitos  tudela verde,28,128,8,Plan,10,64
Cogollitos  tudela verde,28,128,8,Siembra,10,64
Cogollitos  tudela verde,28,128,8,Trasplante,10,64
Cogollitos  tudela verde,28,128,8,Plan,11,64
Cogollitos  tudela verde,28,128,8,Siembra,11,60
Cogollitos  tudela verde,28,128,8,Trasplante,11,60
Cogollitos  tudela verde,28,128,8,Plan,12,64
Cogollitos  tudela verde,28,128,8,Siembra,12,60
Cogollitos  tudela verde,28,128,8,Trasplante,12,60
Cogollitos  tudela verde,28,128,8,Plan,13,64
Cogollitos  tudela verde,28,128,8,Siembra,13,64
Cogollitos  tudela verde,28,128,8,Trasplante,13,64
Cogollitos  tudela verde,28,128,8,Plan,14,64
Cogollitos  tudela verde,28,128,8,Siembra,14,64
Cogollitos  tudela verde,28,128,8,Trasplante,14,64
Cogollitos  tudela verde,28,128,8,Plan,15,64
Cogollitos  tudela verde,28,128,8,Siembra,15,NA
Cogollitos  tudela verde,28,128,8,Trasplante,15,0
Cogollitos  tudela verde,28,128,8,Plan,16,64
Cogollitos  tudela verde,28,128,8,Siembra,16,64
Cogollitos  tudela verde,28,128,8,Trasplante,16,64
Cogollitos  tudela verde,28,128,8,Plan,17,64
Cogollitos  tudela verde,28,128,8,Siembra,17,64
Cogollitos  tudela verde,28,128,8,Trasplante,17,64
Cogollitos  tudela verde,28,128,8,Plan,18,64
Cogollitos  tudela verde,28,128,8,Siembra,18,64
Cogollitos  tudela verde,28,128,8,Trasplante,18,64
Cogollitos  tudela verde,28,128,8,Plan,19,64
Cogollitos  tudela verde,28,128,8,Siembra,19,64
Cogollitos  tudela verde,28,128,8,Trasplante,19,64
Cogollitos  tudela verde,28,128,8,Plan,20,64
Cogollitos  tudela verde,28,128,8,Siembra,20,64
Cogollitos  tudela verde,28,128,8,Trasplante,20,64
