Fecha	remote_id	remote_name	Variable	Valor
2021-06-24T06:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T07:00:00Z	Priva	Exterior	PAR_umolm2s	438.92565
2021-06-24T07:00:00Z	Priva	Exterior	Radiacion_Wm2	192.09
2021-06-24T07:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.78
2021-06-24T07:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	35.68
2021-06-24T07:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T07:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T08:00:00Z	Priva	Exterior	PAR_umolm2s	386.21070000000003
2021-06-24T08:00:00Z	Priva	Exterior	Radiacion_Wm2	169.02
2021-06-24T08:00:00Z	Priva	Exterior	Temperatura_Aire_C	15.49
2021-06-24T08:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	100.79
2021-06-24T08:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T08:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T09:00:00Z	Priva	Exterior	PAR_umolm2s	766.2062000000001
2021-06-24T09:00:00Z	Priva	Exterior	Radiacion_Wm2	335.32
2021-06-24T09:00:00Z	Priva	Exterior	Temperatura_Aire_C	18.38
2021-06-24T09:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	230.58
2021-06-24T09:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.61
2021-06-24T09:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T10:00:00Z	Priva	Exterior	PAR_umolm2s	517.3697
2021-06-24T10:00:00Z	Priva	Exterior	Radiacion_Wm2	226.42
2021-06-24T10:00:00Z	Priva	Exterior	Temperatura_Aire_C	19.06
2021-06-24T10:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	320.64
2021-06-24T10:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0
2021-06-24T10:00:00Z	Priva	Exterior	Lluvia	0
2021-06-24T11:00:00Z	Priva	Exterior	PAR_umolm2s	386.1193
2021-06-24T11:00:00Z	Priva	Exterior	Radiacion_Wm2	168.98
2021-06-24T11:00:00Z	Priva	Exterior	Temperatura_Aire_C	14.51
2021-06-24T11:00:00Z	Priva	Exterior	Suma_Radiacion_Jcm2	392.7
2021-06-24T11:00:00Z	Priva	Exterior	Velocidad_Viento_ms	0.99
2021-06-24T11:00:00Z	Priva	Exterior	Lluvia	1
