Fecha	Variedad	Cama	Planta	Organo	Cantidad
2021-02-22	WI	2	2	Flores	1
2021-02-22	WI	2	2	Frutos	3
2021-02-22	WI	2	3	Flores	5
2021-02-22	WI	2	3	Frutos	0
2021-02-22	WI	2	4	Flores	3
2021-02-22	WI	2	4	Frutos	3
2021-02-22	WI	2	5	Flores	7
2021-02-22	WI	2	5	Frutos	0
2021-02-22	WI	2	6	Flores	7
2021-02-22	WI	2	6	Frutos	0
2021-02-22	VU	3	1	Flores	0
2021-02-22	VU	3	1	Frutos	3
2021-02-22	VU	3	2	Flores	3
2021-02-22	VU	3	2	Frutos	4
2021-02-22	VU	3	3	Flores	0
2021-02-22	VU	3	3	Frutos	2
2021-02-22	VU	3	4	Flores	4
2021-02-22	VU	3	4	Frutos	3
2021-02-22	VU	3	5	Flores	10
2021-02-22	VU	3	5	Frutos	2
2021-02-22	VU	3	6	Flores	4
2021-02-22	VU	3	6	Frutos	5
2021-02-22	CA	4	1	Flores	7
2021-02-22	CA	4	1	Frutos	3
2021-02-22	CA	4	2	Flores	5
2021-02-22	CA	4	2	Frutos	3
2021-02-22	CA	4	3	Flores	5
2021-02-22	CA	4	3	Frutos	4
2021-02-22	CA	4	4	Flores	5
2021-02-22	CA	4	4	Frutos	2
2021-02-22	CA	4	5	Flores	7
2021-02-22	CA	4	5	Frutos	2
2021-02-22	CA	4	6	Flores	7
2021-02-22	CA	4	6	Frutos	2
2021-02-22	KI	5	1	Flores	0
2021-02-22	KI	5	1	Frutos	7
2021-02-22	KI	5	2	Flores	0
2021-02-22	KI	5	2	Frutos	5
2021-02-22	KI	5	3	Flores	16
2021-02-22	KI	5	3	Frutos	0
2021-02-22	KI	5	4	Flores	0
2021-02-22	KI	5	4	Frutos	6
2021-02-22	KI	5	5	Flores	2
2021-02-22	KI	5	5	Frutos	4
2021-02-22	KI	5	6	Flores	0
2021-02-22	KI	5	6	Frutos	6
2021-02-22	GU	6	1	Flores	0
2021-02-22	GU	6	1	Frutos	4
2021-02-22	GU	6	2	Flores	0
2021-02-22	GU	6	2	Frutos	3
2021-02-22	GU	6	3	Flores	2
2021-02-22	GU	6	3	Frutos	4
2021-02-22	GU	6	4	Flores	0
2021-02-22	GU	6	4	Frutos	5
2021-02-22	GU	6	5	Flores	0
2021-02-22	GU	6	5	Frutos	3
2021-02-22	GU	6	6	Flores	1
2021-02-22	GU	6	6	Frutos	3
